Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Компјутерски компоненти/Хард-дискови и SSD,Toshiba,HDD 1TB Toshiba P300 7200rpm,,SE_47346,2239.0,0,1,,129,0,1,0,,,HDD 1TB Toshiba P300 7200rpm  64MB Cache SATA-3  6.0Gb/s  HDWD110UZSVA,,<div class="tab-content" id="tab-description" itemprop="description">HDD 1TB Toshiba P300 7200rpm<br> 64MB Cache SATA-3<br> 6.0Gb/s<br> HDWD110UZSVA </div>,47346_0-1000x1000.jpg,HDD-1TB-Toshiba-P300-7200rpm, 690,SE_47346,SE_47346,63,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 256GB KC600 SATA 3 2.5" SSD,,SE_48679,2249.0,0,1,,126,0,1,0,,,Kingston 256GB KC600 SATA 3 2.5" SSD  Hardware-based self-encrypting drive with 3D TLC NAND  up to up to 550/500MB/s  SKC600/256G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 256GB KC600 SATA 3 2.5" SSD<br> Hardware-based self-encrypting drive with 3D TLC NAND<br> up to up to 550/500MB/s<br> SKC600/256G </div>,48679_0-1000x1000.jpg,Kingston-256GB-KC600-SATA-3-2.5"-SSD, 720,SE_48679,SE_48679,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 500GB NV1 NVMe PCIe SSD read / write,,SE_50639,2249.0,0,1,,7,0,1,0,,,Kingston 500GB NV1 NVMe PCIe SSD read/write  speeds up to 2 100/1 700MB/s  M.2 connector  SNVS/500G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 500GB NV1 NVMe PCIe SSD read/write<br> speeds up to 2<br>100/1<br>700MB/s<br> M.2 connector<br> SNVS/500G </div>,50639_0-1000x1000.jpg,Kingston-500GB-NV1-NVMe-PCIe-SSD-read-/-write, 720,SE_50639,SE_50639,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 256GB SSD,,SE_48350,2349.0,0,1,,4,0,1,0,,,A-Data 256GB SSD  XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive  R/W speed up to 3500/3000MB/s  ASX8200PNP-256GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 256GB SSD<br> XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive<br> R/W speed up to 3500/3000MB/s<br> ASX8200PNP-256GT-C </div>,48350_0-1000x1000.jpg,A-Data-256GB-SSD,1740,SE_48350,SE_48350,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA Falcon 512GB 3D NAND,,SE_49648,2449.0,0,1,,1,0,1,0,,,ADATA Falcon 512GB 3D NAND  PCIe Gen3x4 NVMe M.2 2280  Read/Write Speed up to 3100/1500 MB/s  Internal  AFALCON-512G-C,,<div class="tab-content" id="tab-description" itemprop="description">ADATA Falcon 512GB 3D NAND<br> PCIe Gen3x4 NVMe M.2 2280<br> Read/Write Speed up to 3100/1500 MB/s<br> Internal<br> AFALCON-512G-C </div>,49648_0-1000x1000.jpg,ADATA-Falcon-512GB-3D-NAND,1050,SE_49648,SE_49648,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA Swordfish 500GB 3D NAND,,SE_49645,2449.0,0,1,,6,0,1,0,,,ADATA Swordfish 500GB 3D NAND  PCIe Gen3x4  NVMe M.2 2280  Read/Write up to 1800/1200MB/s  Internal  ASWORDFISH-500G-C,,<div class="tab-content" id="tab-description" itemprop="description">ADATA Swordfish 500GB 3D NAND<br> PCIe Gen3x4<br> NVMe M.2 2280<br> Read/Write up to 1800/1200MB/s<br> Internal<br> ASWORDFISH-500G-C </div>,49645_0-1000x1000.jpg,ADATA-Swordfish-500GB-3D-NAND,1050,SE_49645,SE_49645,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,WesternDigital,HDD 1TB WesternDigital,,SE_38227,2449.0,0,1,,115,0,1,0,,,HDD 1TB WesternDigital  7200rpm  64MB Cache SATA-3  6.0Gb/s  Caviar Blue  WD10EZEX,,<div class="tab-content" id="tab-description" itemprop="description">HDD 1TB WesternDigital<br> 7200rpm<br> 64MB Cache SATA-3<br> 6.0Gb/s<br> Caviar Blue<br> WD10EZEX </div>,38227_0-1000x1000.jpg,HDD-1TB-WesternDigital, 720,SE_38227,SE_38227,66,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Seagate,HDD 1TB Seagate 7200rpm,,SE_46343,2549.0,0,1,,112,0,1,0,,,HDD 1TB Seagate 7200rpm  64MB Cache  SATA-3  6.0Gb/s Barracuda  ST1000DM010,,<div class="tab-content" id="tab-description" itemprop="description">HDD 1TB Seagate 7200rpm<br> 64MB Cache<br> SATA-3<br> 6.0Gb/s Barracuda<br> ST1000DM010 </div>,46343_0-1000x1000.jpg,HDD-1TB-Seagate-7200rpm, 690,SE_46343,SE_46343,57,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG 250GB SSD 970 EVO Plus M.2 PCI-E NVMe,,SE_47863,2549.0,0,1,,22,0,1,0,,,SAMSUNG 250GB SSD 970 EVO Plus M.2 PCI-E NVMe  P/N: MZ-V7S250BW,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG 250GB SSD 970 EVO Plus M.2 PCI-E NVMe<br> P/N: MZ-V7S250BW </div>,47863_0-1000x1000.jpg,SAMSUNG-250GB-SSD-970-EVO-Plus-M.2-PCI-E-NVMe, 720,SE_47863,SE_47863,55,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG SSD 870 EVO SATA3 250GB,,SE_51451,2549.0,0,1,,5,0,1,0,,,SAMSUNG SSD 870 EVO SATA3 250GB  P/N: MZ-77E250B/EU,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG SSD 870 EVO SATA3 250GB<br> P/N: MZ-77E250B/EU </div>,51451_0-1000x1000.jpg,SAMSUNG-SSD-870-EVO-SATA3-250GB, 720,SE_51451,SE_51451,55,kategorijaID,HardDisk
