Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,Lenovo IdeaPad 3 15ITL6 ( GRAY ),,SE_52399,28029.0,0,1,,15,0,1,0,,,Lenovo IdeaPad 3 15ITL6 ( GRAY )  Процесор Intel Core i5-1135G7 (8MB 4.2GHz)  Графичка карта Integrated Intel Iris Xe Graphics   Рам Меморија 8GB DDR4 3200MHz  Диск 512GB SSD M.2 2280 NVME  720P HD CAMERA  4CELL 38WH Battery  15.6 Full HD (1920x1080) IPS  P/N: 82H800WNRM,,<div class="tab-content" id="tab-description" itemprop="description">Lenovo IdeaPad 3 15ITL6 ( GRAY )<br> - Процесор Intel Core i5-1135G7 (8MB 4.2GHz)<br> Графичка карта Integrated Intel Iris Xe Graphics <br> Рам Меморија 8GB DDR4 3200MHz<br> Диск 512GB SSD M.2 2280 NVME<br> 720P HD CAMERA<br> 4CELL 38WH Battery<br> 15.6 Full HD (1920x1080) IPS<br> P/N: 82H800WNRM </div>,52399_0-1000x1000.jpg,Lenovo-IdeaPad-3-15ITL6-(-GRAY-), 720,SE_52399,SE_52399,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,Lenovo IdeaPad 3 15ITL6 ( Sand ),,SE_54288,28029.0,0,1,,26,0,1,0,,,Lenovo IdeaPad 3 15ITL6 ( Sand )  Процесор Intel Core i5-1155G7 (8MB 4.2GHz)  Графичка карта Integrated Intel Iris Xe Graphics   Рам Меморија 8GB DDR4 3200MHz  Диск 512GB SSD M.2 2280 NVME  720P HD CAMERA  4CELL 38WH Battery  15.6 Full HD (1920x1080) IPS  P/N: 82H802V5RM,,<div class="tab-content" id="tab-description" itemprop="description">Lenovo IdeaPad 3 15ITL6 ( Sand )<br> - Процесор Intel Core i5-1155G7 (8MB 4.2GHz)<br> Графичка карта Integrated Intel Iris Xe Graphics <br> Рам Меморија 8GB DDR4 3200MHz<br> Диск 512GB SSD M.2 2280 NVME<br> 720P HD CAMERA<br> 4CELL 38WH Battery<br> 15.6 Full HD (1920x1080) IPS<br> P/N: 82H802V5RM </div>,54288_0-1000x1000.jpg,Lenovo-IdeaPad-3-15ITL6-(-Sand-), 720,SE_54288,SE_54288,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 3 A315-43-R8VU - Процесор AMD Ryzen™ 5 5500U (4M Cache,,SE_54146,28419.0,0,1,,12,0,1,0,,,ACER Aspire 3 A315-43-R8VU Процесор AMD Ryzen™ 5 5500U (4M Cache  up to 3.7 GHz)  Графичка карта AMD Vega 8  Рам меморија 12GB DDR4 RAM  Диск 512GB PCIe NVMe SSD  4xUSB  Card Reader  Camera  HDMI  Ethernet  BT  15.6" FHD IPS (1920 x 1080) resolution  Linux  NX.K7CEX.00B,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 3 A315-43-R8VU - Процесор AMD Ryzen™ 5 5500U (4M Cache<br> up to 3.7 GHz)<br> Графичка карта AMD Vega 8<br> Рам меморија 12GB DDR4 RAM<br> Диск 512GB PCIe NVMe SSD<br> 4xUSB<br> Card Reader<br> Camera<br> HDMI<br> Ethernet<br> BT<br> 15.6" FHD IPS (1920 x 1080) resolution<br> Linux<br> NX.K7CEX.00B </div>,54146_0-1000x1000.jpg,ACER-Aspire-3-A315-43-R8VU---Процесор-AMD-Ryzen™-5-5500U-(4M-Cache, 720,SE_54146,SE_54146,2,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 3 A315-56-56T6 - Intel® Core™ i5-1035G1 Processor (6M Cache,,SE_49803,28419.0,0,1,,0,0,1,0,,,ACER Aspire 3 A315-56-56T6 Intel® Core™ i5-1035G1 Processor (6M Cache  up to 3.60 GHz)  Intel HD VGA  RAM 8 GB  256GB SSD  4xUSB  Card Reader  Camera  HDMI  Ethernet  BT  15.6" FHD (1920 x 1080) resolution  Linux  NX.HS6EX.004,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 3 A315-56-56T6 - Intel® Core™ i5-1035G1 Processor (6M Cache<br> up to 3.60 GHz)<br> Intel HD VGA<br> RAM 8 GB<br> 256GB SSD<br> 4xUSB<br> Card Reader<br> Camera<br> HDMI<br> Ethernet<br> BT<br> 15.6" FHD (1920 x 1080) resolution<br> Linux<br> NX.HS6EX.004 </div>,49803_0-1000x1000.jpg,ACER-Aspire-3-A315-56-56T6---Intel®-Core™-i5-1035G1-Processor-(6M-Cache, 720,SE_49803,SE_49803,2,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,LENOVO IdeaPad 3 14ALC6 ( GRAY ),,SE_52569,28419.0,0,1,,1,0,1,0,,,LENOVO IdeaPad 3 14ALC6 ( GRAY )  AMD Ryzen 5 5500U (3M Cache  Up to 4.0GHz )  AMD HD VGA  8GB DDR4 3200MHz  512GB SSD M.2 2242 PCIe 3.0x4 NVMe   HD 720P WEBCAM  2 x Stereo Speakers with Dolby Audio  LAN: 10/100/1000M Gigabit Ethernet  Bluetooth® 4.0 Combo with WiFi Card  Ports: 1 x USB 3.0  2 x USB 2.0  3.5 mm Combo Audio Jack  1 x VGA  1 x HDMI  1 x RJ45  4-in-1 Card Reader  14" FULLHD (1920x1080)  P/N: 82KT0078RM,,<div class="tab-content" id="tab-description" itemprop="description">LENOVO IdeaPad 3 14ALC6 ( GRAY )<br> - AMD Ryzen 5 5500U (3M Cache<br> Up to 4.0GHz )<br> AMD HD VGA<br> 8GB DDR4 3200MHz<br> 512GB SSD M.2 2242 PCIe 3.0x4 NVMe <br> HD 720P WEBCAM<br> 2 x Stereo Speakers with Dolby Audio<br> LAN: 10/100/1000M Gigabit Ethernet<br> Bluetooth® 4.0 Combo with WiFi Card<br> Ports: 1 x USB 3.0<br> 2 x USB 2.0<br> 3.5 mm Combo Audio Jack<br> 1 x VGA<br> 1 x HDMI<br> 1 x RJ45<br> 4-in-1 Card Reader<br> 14" FULLHD (1920x1080)<br> P/N: 82KT0078RM </div>,52569_0-1000x1000.jpg,LENOVO-IdeaPad-3-14ALC6-(-GRAY-), 720,SE_52569,SE_52569,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 15s-eq2002nia (Natural Silver),,SE_55296,28909.0,0,1,,0,0,1,0,,,HP 15s-eq2002nia (Natural Silver)  Процесор AMD Ryzen 5 5500U (4M Cache  up to 3.8 GHz)  Графичка карта AMD Radeon Graphics  Рам меморија 16GB 3200MHz DDR4  Диск 512GB SSD  HD webcam  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1920x1080)   PN: 48M36EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 15s-eq2002nia (Natural Silver)<br> Процесор AMD Ryzen 5 5500U (4M Cache<br> up to 3.8 GHz)<br> Графичка карта AMD Radeon Graphics<br> Рам меморија 16GB 3200MHz DDR4<br> Диск 512GB SSD<br> HD webcam<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1920x1080) <br> PN: 48M36EA </div>,55296_0-1000x1000.jpg,HP-15s-eq2002nia-(Natural-Silver), 360,SE_55296,SE_55296,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 15s-eq2003nia (White),,SE_55295,28909.0,0,1,,7,0,1,0,,,HP 15s-eq2003nia (White)  Процесор AMD Ryzen 5 5500U (4M Cache  up to 3.8 GHz)  Графичка карта AMD Radeon Graphics  Рам меморија 16GB 3200MHz DDR4  Диск 512GB SSD  HD webcam  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1920x1080)   PN: 48M37EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 15s-eq2003nia (White)<br> Процесор AMD Ryzen 5 5500U (4M Cache<br> up to 3.8 GHz)<br> Графичка карта AMD Radeon Graphics<br> Рам меморија 16GB 3200MHz DDR4<br> Диск 512GB SSD<br> HD webcam<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1920x1080) <br> PN: 48M37EA </div>,55295_0-1000x1000.jpg,HP-15s-eq2003nia-(White), 360,SE_55295,SE_55295,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 15s-fq2002nia (Grey ),,SE_51572,28909.0,0,1,,123,0,1,0,,,HP 15s-fq2002nia (Grey )  Intel® Core™ i5-1135G7 Processor 8M Cache up to 4.20 GHz  Intel Iris Xe  8GB 2400MHz DDR4  512GB SSD  HD webcam  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1920x1080)   PN: 3B3J4EA#BH5,,<div class="tab-content" id="tab-description" itemprop="description">HP 15s-fq2002nia (Grey )<br> - Intel® Core™ i5-1135G7 Processor 8M Cache up to 4.20 GHz<br> Intel Iris Xe<br> 8GB 2400MHz DDR4<br> 512GB SSD<br> HD webcam<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1920x1080) <br> PN: 3B3J4EA#BH5 </div>,51572_0-1000x1000.jpg,HP-15s-fq2002nia-(Grey-), 360,SE_51572,SE_51572,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 5 A315-58-53H3 ( Silver ) -Процесор Intel® Core™i5-1135G7 (8M Cache,,SE_55285,29399.0,0,1,,128,0,1,0,,,ACER Aspire 5 A315-58-53H3 ( Silver ) -Процесор Intel® Core™i5-1135G7 (8M Cache  up to 4.2GHz)  Графичка Intel HD  РАМ 8GB DDR4  ДИСК 512GB PCIe NVMe SSD   4xUSB  Card Reader  Camera  HDMI  Ethernet  BT  15.6" FHD (1920 x 1080) resolution  NX.ADDEX.01P,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 5 A315-58-53H3 ( Silver ) -Процесор Intel® Core™i5-1135G7 (8M Cache<br> up to 4.2GHz)<br> Графичка Intel HD<br> РАМ 8GB DDR4<br> ДИСК 512GB PCIe NVMe SSD <br> 4xUSB<br> Card Reader<br> Camera<br> HDMI<br> Ethernet<br> BT<br> 15.6" FHD (1920 x 1080) resolution<br> NX.ADDEX.01P </div>,55285_0-1000x1000.jpg,ACER-Aspire-5-A315-58-53H3-(-Silver-)--Процесор-Intel®-Core™i5-1135G7-(8M-Cache, 720,SE_55285,SE_55285,2,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 5 A315-58-548S ( LAVA RED ) -Процесор Intel® Core™i5-1135G7 (8M Cache,,SE_55286,29399.0,0,1,,19,0,1,0,,,ACER Aspire 5 A315-58-548S ( LAVA RED ) -Процесор Intel® Core™i5-1135G7 (8M Cache  up to 4.2GHz)  Графичка Intel HD  РАМ 8GB DDR4  ДИСК 512GB PCIe NVMe SSD   4xUSB  Card Reader  Camera  HDMI  Ethernet  BT  15.6" FHD (1920 x 1080) resolution  NX.AL0EX.00E,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 5 A315-58-548S ( LAVA RED ) -Процесор Intel® Core™i5-1135G7 (8M Cache<br> up to 4.2GHz)<br> Графичка Intel HD<br> РАМ 8GB DDR4<br> ДИСК 512GB PCIe NVMe SSD <br> 4xUSB<br> Card Reader<br> Camera<br> HDMI<br> Ethernet<br> BT<br> 15.6" FHD (1920 x 1080) resolution<br> NX.AL0EX.00E </div>,55286_0-1000x1000.jpg,ACER-Aspire-5-A315-58-548S-(-LAVA-RED-)--Процесор-Intel®-Core™i5-1135G7-(8M-Cache, 720,SE_55286,SE_55286,2,kategorijaID,Laptopi
